market_id,interval,open_time,close_time,open_price,high_price,low_price,close_price,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,inserted_at
297,5m,2025-05-01 03:20:00.000000 +00:00,2025-05-01 03:24:59.999000 +00:00,0.6892000000,0.6914000000,0.6892000000,0.6911000000,206675.2000000000,142793.8010800000,572,69544.6000000000,48058.2347400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:25:00.000000 +00:00,2025-05-01 03:29:59.999000 +00:00,0.6911000000,0.6916000000,0.6911000000,0.6912000000,54214.8000000000,37483.2512200000,270,31383.5000000000,21699.5895800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:30:00.000000 +00:00,2025-05-01 03:34:59.999000 +00:00,0.6911000000,0.6920000000,0.6903000000,0.6914000000,133519.5000000000,92253.6103300000,541,49230.9000000000,34013.7794600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:35:00.000000 +00:00,2025-05-01 03:39:59.999000 +00:00,0.6914000000,0.6926000000,0.6911000000,0.6913000000,150606.9000000000,104231.4076100000,427,116318.6000000000,80501.0017400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:40:00.000000 +00:00,2025-05-01 03:44:59.999000 +00:00,0.6913000000,0.6914000000,0.6901000000,0.6906000000,106700.1000000000,73711.2068600000,610,31817.7000000000,21980.9925700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:45:00.000000 +00:00,2025-05-01 03:49:59.999000 +00:00,0.6906000000,0.6906000000,0.6888000000,0.6891000000,99821.2000000000,68827.8915500000,471,10063.8000000000,6935.7643000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:50:00.000000 +00:00,2025-05-01 03:54:59.999000 +00:00,0.6892000000,0.6896000000,0.6880000000,0.6881000000,115249.3000000000,79366.0063600000,495,63118.4000000000,43465.6803400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 03:55:00.000000 +00:00,2025-05-01 03:59:59.999000 +00:00,0.6880000000,0.6890000000,0.6877000000,0.6888000000,116898.4000000000,80466.3683200000,426,28296.7000000000,19482.6265900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:00:00.000000 +00:00,2025-05-01 04:04:59.999000 +00:00,0.6888000000,0.6892000000,0.6872000000,0.6877000000,100105.5000000000,68849.4161100000,522,48525.5000000000,33384.2692900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:05:00.000000 +00:00,2025-05-01 04:09:59.999000 +00:00,0.6878000000,0.6890000000,0.6874000000,0.6883000000,49997.0000000000,34409.6428500000,337,17667.7000000000,12159.6682500000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:10:00.000000 +00:00,2025-05-01 04:14:59.999000 +00:00,0.6883000000,0.6892000000,0.6882000000,0.6883000000,178898.9000000000,123190.9632500000,426,56328.0000000000,38793.5964200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:15:00.000000 +00:00,2025-05-01 04:19:59.999000 +00:00,0.6884000000,0.6885000000,0.6861000000,0.6862000000,214552.0000000000,147368.6414600000,515,37119.0000000000,25507.2952600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:20:00.000000 +00:00,2025-05-01 04:24:59.999000 +00:00,0.6861000000,0.6870000000,0.6861000000,0.6865000000,61120.1000000000,41959.8527300000,306,26371.0000000000,18105.8206900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:25:00.000000 +00:00,2025-05-01 04:29:59.999000 +00:00,0.6864000000,0.6866000000,0.6853000000,0.6853000000,101163.3000000000,69379.7197500000,390,19955.0000000000,13684.0408800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:30:00.000000 +00:00,2025-05-01 04:34:59.999000 +00:00,0.6854000000,0.6857000000,0.6848000000,0.6854000000,228601.6000000000,156632.7202300000,414,57264.3000000000,39242.6884900000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:35:00.000000 +00:00,2025-05-01 04:39:59.999000 +00:00,0.6853000000,0.6856000000,0.6848000000,0.6853000000,134112.8000000000,91909.4019300000,261,46987.5000000000,32209.7705600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:40:00.000000 +00:00,2025-05-01 04:44:59.999000 +00:00,0.6852000000,0.6863000000,0.6851000000,0.6862000000,211339.8000000000,144916.9934600000,489,157529.0000000000,108015.1495500000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:45:00.000000 +00:00,2025-05-01 04:49:59.999000 +00:00,0.6861000000,0.6867000000,0.6856000000,0.6862000000,64154.6000000000,44016.3077100000,411,47057.6000000000,32283.2898600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:50:00.000000 +00:00,2025-05-01 04:54:59.999000 +00:00,0.6862000000,0.6867000000,0.6858000000,0.6866000000,81084.9000000000,55643.4508900000,290,65558.9000000000,44990.5272600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 04:55:00.000000 +00:00,2025-05-01 04:59:59.999000 +00:00,0.6866000000,0.6878000000,0.6866000000,0.6878000000,50649.3000000000,34813.3896800000,266,35170.7000000000,24172.8026400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:00:00.000000 +00:00,2025-05-01 05:04:59.999000 +00:00,0.6879000000,0.6888000000,0.6872000000,0.6872000000,84088.1000000000,57884.4114200000,401,33633.2000000000,23154.3450600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:05:00.000000 +00:00,2025-05-01 05:09:59.999000 +00:00,0.6872000000,0.6888000000,0.6868000000,0.6887000000,55565.1000000000,38200.7047200000,400,33132.6000000000,22777.0002600000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:10:00.000000 +00:00,2025-05-01 05:14:59.999000 +00:00,0.6886000000,0.6897000000,0.6885000000,0.6891000000,181106.5000000000,124805.0917900000,334,136829.2000000000,94294.8040300000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:15:00.000000 +00:00,2025-05-01 05:19:59.999000 +00:00,0.6892000000,0.6912000000,0.6892000000,0.6910000000,323059.0000000000,223061.5149500000,679,169226.5000000000,116823.8426500000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:20:00.000000 +00:00,2025-05-01 05:24:59.999000 +00:00,0.6910000000,0.6922000000,0.6908000000,0.6913000000,111177.7000000000,76893.4689400000,496,50555.6000000000,34966.5719700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:25:00.000000 +00:00,2025-05-01 05:29:59.999000 +00:00,0.6913000000,0.6920000000,0.6906000000,0.6919000000,105263.3000000000,72790.3656900000,418,52203.2000000000,36103.2483800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:30:00.000000 +00:00,2025-05-01 05:34:59.999000 +00:00,0.6919000000,0.6924000000,0.6909000000,0.6923000000,146468.0000000000,101339.2567500000,513,108927.3000000000,75370.2543700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:35:00.000000 +00:00,2025-05-01 05:39:59.999000 +00:00,0.6923000000,0.6933000000,0.6923000000,0.6924000000,324503.3000000000,224831.2256100000,752,184672.8000000000,127961.2394300000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:40:00.000000 +00:00,2025-05-01 05:44:59.999000 +00:00,0.6924000000,0.6932000000,0.6913000000,0.6924000000,298499.8000000000,206693.1364900000,856,139632.1000000000,96705.0046100000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:45:00.000000 +00:00,2025-05-01 05:49:59.999000 +00:00,0.6924000000,0.6936000000,0.6914000000,0.6918000000,133896.1000000000,92748.3602600000,642,68338.5000000000,47344.4246400000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:50:00.000000 +00:00,2025-05-01 05:54:59.999000 +00:00,0.6917000000,0.6923000000,0.6914000000,0.6920000000,60643.7000000000,41961.1330500000,430,29330.4000000000,20296.1090100000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 05:55:00.000000 +00:00,2025-05-01 05:59:59.999000 +00:00,0.6921000000,0.6928000000,0.6916000000,0.6928000000,159282.8000000000,110263.8649500000,475,83794.8000000000,58002.3488800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 06:00:00.000000 +00:00,2025-05-01 06:04:59.999000 +00:00,0.6927000000,0.6929000000,0.6913000000,0.6915000000,161681.2000000000,111942.0416100000,570,92722.5000000000,64199.0613000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 06:05:00.000000 +00:00,2025-05-01 06:09:59.999000 +00:00,0.6916000000,0.6916000000,0.6901000000,0.6903000000,147280.8000000000,101707.9016100000,395,40494.5000000000,27968.0894100000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 06:10:00.000000 +00:00,2025-05-01 06:14:59.999000 +00:00,0.6904000000,0.6908000000,0.6900000000,0.6903000000,98279.0000000000,67842.0876100000,306,51615.8000000000,35628.5233500000,2026-01-06 08:50:45.802252 +00:00
